time[s], rv1_mhd[m/s], rv2_mhd[m/s], rv3_mhd[m/s], rv4_mhd[m/s], rv5_mhd[m/s], sampling_grid[1=yes;0=no]
0.109730 -0.637353 -0.029207 -0.043651 1.716590 -0.054809 1 
0.110424 -0.516519 -0.021080 -0.210085 0.525307 -0.652876 0 
0.111119 -0.363554 0.672847 -0.222077 -0.004827 0.628302 1 
0.111813 -0.971676 -0.568268 1.204564 -0.914926 -0.703966 0 
0.112508 -0.818431 0.420398 -0.450780 0.212313 -0.029059 0 
0.113202 -0.655720 -0.541009 0.347819 -0.012855 -0.657807 0 
0.113897 -0.693646 -1.070679 -0.821478 -0.007681 -0.313329 0 
0.114591 -0.042694 -0.031884 -0.541795 0.361917 0.866876 0 
0.115286 -0.906389 0.154358 0.505121 0.204376 1.019888 0 
0.115980 -0.270163 0.334255 -0.424050 -0.700221 0.464811 0 
0.116675 -0.724164 -0.381988 0.083911 -1.303881 -0.685715 0 
0.117369 -0.789598 1.341596 0.591175 -0.973798 0.491843 0 
0.118064 0.079601 -0.796674 -0.670809 -1.184612 0.173964 0 
0.118758 -0.049151 -0.014826 -1.298707 -1.010151 0.453438 0 
0.119453 1.256628 -0.040812 -0.493878 -0.740909 0.499352 0 
0.120147 -0.048743 0.231170 0.346411 -0.777981 -0.567874 0 
0.120842 -0.113981 -0.448897 -1.986150 -0.991903 0.029089 0 
0.121536 0.455090 -0.195101 -0.572753 -0.032713 1.359465 0 
0.122231 -1.412044 0.289202 -1.665995 0.333426 1.501575 0 
0.122925 1.292618 0.012717 -0.317360 -0.720166 0.088483 0 
0.123620 0.473382 0.291817 -0.799309 -1.103780 0.297752 0 
0.124314 -0.337952 -0.348431 -0.392178 -1.009124 -0.689436 0 
0.125009 -0.557268 0.326132 -1.260702 -0.714031 -0.054168 0 
0.125703 -0.996150 0.943600 -1.354454 -0.360950 -0.716817 0 
0.126398 -0.763666 1.163794 -1.211715 -0.235201 -0.613573 0 
0.127092 0.377258 -0.620795 -0.456021 0.000664 -0.283577 0 
0.127787 -0.968668 0.977329 -0.089749 -0.745434 -0.019598 0 
0.128481 -0.559648 -0.316263 -1.457113 0.051674 -0.743879 0 
0.129176 -1.216585 0.426665 -0.739425 0.227213 0.062012 0 
0.129870 -1.080272 -0.905525 0.505974 0.422589 0.227175 0 
0.130565 -0.700703 0.819681 -0.405645 -0.061305 0.045760 0 
0.131259 -0.837530 0.157129 -0.054576 -0.191227 -0.542982 1 
0.131954 0.148889 -0.273112 -1.158056 0.106374 0.328101 0 
0.132648 -0.308549 1.267529 -0.269127 -0.349360 0.778898 0 
0.133343 -0.931053 0.085026 -0.748717 -0.170347 1.108600 1 
0.134037 0.543796 0.068917 -0.857377 -0.901943 1.191071 0 
0.134732 0.535124 1.106716 -0.412791 0.291854 -1.528317 0 
0.135426 -0.351639 0.440165 -0.057596 -0.104865 -1.327187 0 
0.136121 0.120243 -0.804159 -1.606409 0.485750 -0.054596 0 
0.136815 -0.684865 0.013253 -0.978943 0.428244 -0.091201 0 
0.137510 0.468011 -0.900687 -0.493800 -0.403198 0.303025 0 
0.138204 0.066473 -0.679702 -0.408840 0.314384 -1.281739 0 
0.138899 0.250442 0.456690 -0.385350 0.552468 -1.081382 0 
0.139593 -0.814759 -0.241877 -0.789556 -0.129539 -0.538731 0 
0.140288 0.563391 0.642515 -0.640070 0.058671 -0.144844 0 
0.140982 -0.245440 -0.179876 -0.698111 -0.815659 -0.533054 0 
0.141677 -0.000164 0.564253 -0.915023 -1.417579 -1.264784 0 
0.142371 0.754500 1.004644 -0.831793 -0.826412 0.623243 0 
0.143065 -0.318877 -0.378603 -0.798969 -0.902616 -0.821878 0 
0.143760 0.129006 -0.293847 0.216479 -0.403546 0.651819 0 
0.144454 -0.200256 -0.100250 -0.270155 -0.271649 0.328081 0 
0.145149 -0.469516 0.064262 -0.713706 -0.327668 0.624664 0 
0.145843 1.299116 0.070759 0.073498 -1.378811 0.002279 0 
0.146538 -1.070754 -0.656644 -0.163846 -1.669025 0.789707 0 
0.147232 -0.560713 -0.839768 -0.160433 0.094909 0.904912 0 
0.147927 0.217668 -0.808036 -0.690489 -0.196197 0.543791 0 
0.148621 0.607441 -0.109387 0.167204 -1.022301 0.587452 0 
0.149316 0.291438 0.542858 -1.762948 0.020062 0.171658 0 
0.150010 -1.013493 -1.564662 0.510310 -0.527163 1.059077 0 
0.150705 -1.756214 -2.262201 0.034838 0.083936 -0.550515 0 
0.151399 0.699731 0.034114 -0.153526 0.125770 -0.641369 0 
0.152094 -0.843197 0.104669 0.490111 0.117088 -0.737691 0 
0.152788 -0.654511 0.427520 0.062080 0.313492 0.324865 0 
0.153483 -1.327757 0.129616 -0.516665 -0.337037 0.558003 0 
0.154177 -0.349244 0.672397 -1.420494 0.632762 1.097580 1 
0.154872 -0.501456 0.739537 -1.016955 0.248802 -0.700329 0 
0.155566 0.106976 0.292447 0.105568 1.150417 -0.184286 0 
0.156261 -0.681265 -0.304736 -0.400596 1.130341 -0.153046 0 
0.156955 -1.242574 -0.944981 -0.519777 0.587077 1.108267 0 
0.157650 -0.656638 -0.566538 -0.172444 0.525675 0.414605 0 
0.158344 -0.936236 0.111162 0.748104 1.219568 1.143359 0 
0.159039 0.525854 0.154895 -0.598488 -0.382870 0.350400 1 
0.159733 -1.719640 -0.244461 0.244287 1.039826 0.671136 0 
0.160428 -0.677695 -0.446768 0.157023 0.215398 -0.570300 0 
0.161122 0.588673 -0.051400 -0.000796 -0.197236 0.604653 0 
0.161817 -0.474369 -0.832440 -0.505061 0.749989 0.623364 0 
0.162511 -0.338317 -1.815742 -0.362441 0.553561 1.051879 0 
0.163206 -1.484164 -0.925798 -0.964291 0.395134 0.411200 0 
0.163900 -0.793220 -1.014439 -0.612159 -1.362278 -0.417665 0 
0.164595 -0.079685 -0.915994 -0.662828 -0.088143 0.248899 1 
0.165289 -1.520683 -0.746043 -0.267010 -0.389978 0.389585 0 
0.165984 -1.362925 -1.162107 -0.189467 -0.930469 0.934009 0 
0.166678 -0.780190 -0.852227 -0.744020 0.171168 0.012172 0 
0.167373 0.889934 -0.452527 0.052195 -0.658123 0.128321 0 
0.168067 1.228134 -1.184193 0.232741 0.241021 -1.223475 1 
0.168762 -0.472756 -0.973707 -0.186877 0.369602 0.246448 1 
0.169456 -0.452932 -0.048453 -1.666378 -0.784968 -0.977201 0 
0.170151 0.831484 0.336032 -0.154758 -0.094330 -0.187464 0 
0.170845 -0.443388 -0.479659 0.139774 0.065130 -0.830991 0 
0.171540 -0.542230 -1.436552 -0.157423 0.281220 -0.072782 0 
0.172234 -0.336271 -0.123053 -1.383967 -0.921408 -0.709884 0 
0.172929 -0.368394 -1.328193 -1.171402 -1.165989 0.446736 1 
0.173623 -0.054194 -0.128354 -0.349802 0.428920 0.363867 0 
0.174318 0.600845 -0.376404 -0.345322 0.004402 -0.443582 0 
0.175012 -0.056535 -0.967701 -0.593651 0.227465 0.016934 0 
0.175707 -0.228109 -0.143629 -0.753679 -0.389589 0.551250 0 
0.176401 0.677934 -0.603196 -0.969408 -0.728530 0.188924 0 
0.177096 -0.230463 -0.583417 -0.414734 -0.948458 -0.938934 0 
0.177790 -0.584982 0.138085 0.077904 -0.416132 -0.611346 0 
